QuBit readings for Dec 2018-Jan-2019 eDNA samples,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Date_read,Day collected,Month collected,Year collected,sample,Replicate,Location,Habitat,Orig. sample volume (ml),DNA (ul),orig.(ng/ul),Qubit[](ng/ul),S1 Low,S2 High,Notes,Fish/sample,Depth (m),,
2019-04-01,13,December,2018,26,1,Lot,LC,400,5,NA,NA,74.32,38153.68,Out of range,62,4,,
2019-05-13,13,December,2018,50,1,Lot,LC,400,5,NA,NA,71.28,37736.78,Out of range,62,4,,
2019-05-13,13,December,2018,51,1,Lot,AW,400,5,NA,NA,71.28,37736.78,Out of range,NA,3,,
2019-05-13,18,December,2018,4,2,Lot,LC,200,5,NA,NA,71.28,37736.78,Out of range,76,3.5,,
2019-05-13,18,December,2018,2,2,Lot,LC,200,5,0.3920,9.79,71.28,37736.78,,76,3.5,,
2019-04-01,18,December,2018,6,2,Lot,LC,400,5,0.3640,9.11,74.32,38153.68,,76,3.5,,
2019-05-13,18,December,2018,11,2,Lot,LC,300,5,0.3620,9.05,71.28,37736.78,,76,3.5,,
2019-02-17,18,December,2018,56,3,Lot,surf,400,10,0.248,12.4,62.53,4858.66,,NA,0,,
2019-02-25,18,December,2018,41,3,Lot,surf,400,10,0.6000,30.00,68.07,39633.54,,NA,0,,
2019-05-13,18,December,2018,20,3,Lot,surf,400,5,0.0480,1.02,71.28,37736.78,,NA,0,,
2019-02-17,19,December,2018,30,4,Lot,CR,400,10,2.48,124,62.53,4858.65,,12,3.5,,
2019-02-25,19,December,2018,15,4,Lot,CR,400,10,0.7480,37.40,68.07,39633.54,,12,3.5,,
2019-05-13,19,December,2018,18,4,Lot,CR,400,5,0.5600,14.00,71.28,37736.78,,12,3.5,,
2019-04-01,19,December,2018,13,5,Lot,surf,400,5,0.9280,23.20,74.32,38153.68,,NA,0,,
2019-05-13,19,December,2018,22,5,Lot,surf,400,5,0.6400,16.00,71.28,37736.78,,NA,0,,
2019-04-27,19,December,2018,24,5,Lot,surf,400,5,1.6600,41.50,70.69,36806.67,,NA,0,,
2019-02-25,20,December,2018,12,6,Eua,DCH,400,10,0.2700,13.50,68.07,39633.54,,99,3.5,,
2019-02-25,20,December,2018,5,6,Eua,DHC,400,10,0.0844,4.22,68.07,39633.54,,99,3.5,,
2019-02-17,20,December,2018,10,6,Eua,DCH,400,10,1.22,61.2,62.53,4858.64,"10, 30, and 56 had no alcohol added to the extraction buffers",99,3.5,,
2019-02-25,20,December,2018,16,7,Eua,surf,400,10,0.4600,23.00,68.07,39633.54,,NA,0,,
2019-04-27,20,December,2018,14,7,Eua,surf,400,5,0.7040,17.60,70.69,36806.67,,NA,0,,
2019-04-27,20,December,2018,8,7,Eua,surf,400,5,0.6280,15.70,74.94,17588.8,,NA,0,,
2019-02-25,21,December,2018,53,8,Eua,CR,400,10,0.0292,1.46,68.07,39633.54,,33,3.5,,
2019-04-01,21,December,2018,45,8,Eua,CR,400,5,NA,NA,74.32,38153.68,Out of range,33,3.5,,
2019-05-13,21,December,2018,38,8,Eua,CR,400,5,NA,NA,71.28,37736.78,Out of range,33,3.5,,
2019-04-01,22,December,2018,9,9,MS,DHC,400,5,NA,NA,74.32,38153.68,Out of range,45,3.5,,
2019-05-13,22,December,2018,3,9,MS,DCH,400,5,NA,NA,71.28,37736.78,Out of range,48,3.5,,
2019-04-01,24,December,2018,42,10,MS,DHC,400,5,0.0276,0.69,74.32,38153.68,,25,3.5,,
2019-04-27,24,December,2018,7,10,MS,DCH,400,5,0.9320,23.30,70.69,36806.67,,5,3.5,,
2019-04-27,27,December,2018,27,11,Lot,DCH,200,5,0.7500,19.00,74.94,17588.8,Hau's demo/only one syringe worked,1,3.5,,
2019-04-27,27,December,2018,35,11,Lot,AW,400,5,0.9000,22.50,70.69,36806.67,Taken with jar,NA,2.5,,
2019-04-01,28,December,2018,28,12,MS,LC,200,5,NA,NA,74.32,38153.68,Out of range,54,3.5,,
2019-05-13,28,December,2018,57,12,MS,LC,200,5,NA,NA,71.28,37736.78,Out of range,54,3.5,,
2019-04-27,28,December,2018,49,12,MS,LC,200,5,NA,NA,70.69,36806.67,Out of range,54,3.5,,
2019-04-01,28,December,2018,40,13,MS,LC,200,5,0.1780,4.46,74.32,38153.68,,9,3.5,,
2019-04-27,28,December,2018,37,13,MS,LC,200,5,1.8100,45.30,74.94,17588.8,,9,3.5,,
2019-04-27,28,December,2018,31,13,MS,LC,200,5,0.0752,1.88,74.94,17588.8,,9,3.5,,
2019-04-01,31,December,2018,47,14,Afo,LC,200,5,NA,NA,74.32,38153.68,Out of range,23,3.5,,
2019-04-27,31,December,2018,33,14,Afo,LC,200,5,NA,NA,70.69,36806.67,Out of range,23,3.5,,
2019-04-27,31,December,2018,39,14,Afo,LC,200,5,NA,NA,74.94,17588.8,out of range,23,3.5,,
2019-04-01,31,December,2018,44,15,Afo,LC,200,5,NA,NA,74.32,38153.68,Out of range,9,3.5,,
2019-04-27,31,December,2018,29,15,Afo,LC,200,5,0.0208,0.52,70.69,36806.67,,9,3.5,,
2019-04-27,31,December,2018,59,15,Afo,LC,200,5,NA,NA,70.69,36806.67,Out of range,9,3.5,,
2019-04-27,31,December,2018,32,16,Afo,AW,200,5,1.7200,43.10,74.94,17588.8,Same jar than 17,NA,2.5,,
2019-04-27,31,December,2018,17,16,Afo,AW,200,5,1.8800,46.90,74.94,17588.8,Same jar than 32,NA,2.5,,
2019-04-27,31,December,2018,23,17,Lot,LC,200,5,NA,NA,70.69,36806.67,Out of range,17,3.5,,
2019-04-27,31,December,2018,36,17,Lot,LC,200,5,0.1100,2.76,70.69,36806.67,,17,3.5,,
2019-04-27,31,December,2018,19,17,Lot,LC,200,5,0.0712,1.78,74.94,17588.8,,17,3.5,,
2019-04-27,31,December,2018,25,18,Lot,LC,200,5,0.0240,0.56,70.69,36806.67,,10,3.5,,
2019-04-27,31,December,2018,21,18,Lot,LC,200,5,NA,NA,74.94,17588.8,Out of range,10,3.5,,
2019-04-27,31,December,2018,43,18,Lot,LC,200,5,0.0528,1.32,74.94,17588.8,,10,3.5,,
2019-05-07,2,January,2019,100,19,MS,CR,200,5,0.988,24.7,72.59,36070.04,,19,3,,
2019-05-07,2,January,2019,101,19,MS,CR,200,5,1.23,30.7,72.59,36070.04,,19,3,,
2019-05-07,2,January,2019,102,19,MS,CR,200,5,0.444,11.1,72.59,36070.04,,19,3,,
2019-05-07,2,January,2019,103,20,MS,CR,200,5,0.404,10.1,72.59,36070.04,,15,3,,
2019-05-07,2,January,2019,104,20,MS,CR,200,5,0.664,16.6,72.59,36070.04,,15,3,,
2019-04-27,2,January,2019,105,20,MS,CR,200,5,0.9840,24.60,74.94,17588.8,,15,3,,
2019-05-07,2,January,2019,106,21,MS,AW,200,5,0.066,1.65,72.59,36070.04,Same jar than 107,NA,2,,
2019-05-07,2,January,2019,107,21,MS,AW,200,5,0.026,0.5,65.1,35087.91,Same jar than 106,NA,2,,
2019-04-01,3,January,2019,118,22,Afo,CR,200,5,0.0248,0.62,74.32,38153.68,,60,4,,
2019-05-07,3,January,2019,126,22,Afo,CR,200,5,1.17,29.3,72.59,36070.04,,60,4,,
2019-05-07,3,January,2019,116,22,Afo,CR,200,5,1.73,43.2,72.59,36070.04,,60,4,,
2019-05-07,3,January,2019,119,23,Afo,CR,200,5,0.84,21,72.59,36070.04,,5,4,,
2019-04-27,3,January,2019,125,23,Afo,CR,200,5,1.0500,26.20,70.69,36806.67,,5,4,,
2019-05-07,3,January,2019,114,23,Afo,CR,200,5,0.0228,0.57,72.59,36070.04,,5,4,,
2019-04-01,3,January,2019,122,24,Afo,CR,200,5,NA,NA,74.32,38153.68,Out of range,47,4,,
2019-05-13,3,January,2019,113,24,Afo,CR,200,5,NA,NA,71.28,37736.78,Out of range,47,4,,
2019-05-07,3,January,2019,111,24,Afo,CR,200,5,0.02,0.5,72.59,36070.04,,47,4,,
2019-04-27,3,January,2019,54,25,Afo,AW,200,5,0.9880,24.70,74.94,17588.8,,NA,3,,
2019-05-07,3,January,2019,123,25,Afo,AW,200,5,1.05,26.2,72.59,36070.04,,NA,3,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
